scenario,clients,server,method,reqs,fails,avg_delay,min_delay,max_delay,duration,io_ops,io_duration,cpu_ops,cpu_duration,cpu_user,cpu_system,cpu_children_user,cpu_children_system,mem_virt,mem_res,mem_uni
highops_lowdelay_tinycpu,10,asyncio,/sequential-io,1338,0(0.00%),171,110,301,436,53119,177.7,54434,1.0,120.5,9.9,0.0,0.0,1579.3,41.1,32.2
highops_lowdelay_tinycpu,10,asyncio,/parallel-io,1341,0(0.00%),57,26,155,436,53119,177.7,54434,1.0,120.5,9.9,0.0,0.0,1579.3,41.1,32.2
highops_lowdelay_tinycpu,10,tornado2,/no-io,1298,0(0.00%),10,2,50,440,54320,181.7,55618,1.0,153.4,22.9,0.0,0.0,1556.5,28.6,24.3
highops_lowdelay_tinycpu,10,tornado2,/parallel-io,1345,0(0.00%),69,37,161,440,54320,181.7,55618,1.0,153.4,22.9,0.0,0.0,1556.5,28.6,24.3
highops_lowdelay_tinycpu,10,tornado2,/sequential-io,1366,0(0.00%),186,122,328,440,54320,181.7,55618,1.0,153.4,22.9,0.0,0.0,1556.5,28.6,24.3
highops_lowdelay_tinycpu,10,tornado3,/parallel-io,1300,0(0.00%),68,35,132,442,53200,177.9,54531,1.0,153.2,20.9,0.0,0.0,1559.7,31.3,22.8
highops_lowdelay_tinycpu,10,tornado3,/no-io,1341,0(0.00%),9,2,44,442,53200,177.9,54531,1.0,153.2,20.9,0.0,0.0,1559.7,31.3,22.8
highops_lowdelay_tinycpu,10,tornado3,/sequential-io,1368,0(0.00%),199,132,366,442,53200,177.9,54531,1.0,153.2,20.9,0.0,0.0,1559.7,31.3,22.8
highops_lowdelay_tinycpu,20,asyncio,/parallel-io,1315,0(0.00%),54,27,177,221,53740,179.7,55082,1.0,93.6,8.0,0.0,0.0,1580.5,40.0,31.2
highops_lowdelay_tinycpu,20,asyncio,/no-io,1341,0(0.00%),8,2,55,221,53740,179.7,55082,1.0,93.6,8.0,0.0,0.0,1580.5,40.0,31.2
highops_lowdelay_tinycpu,20,asyncio,/sequential-io,1363,0(0.00%),165,113,384,221,53740,179.7,55082,1.0,93.6,8.0,0.0,0.0,1580.5,40.0,31.2
highops_lowdelay_tinycpu,20,tornado2,/no-io,1316,0(0.00%),7,2,61,224,53396,178.6,54695,1.0,114.7,17.8,0.0,0.0,1556.8,29.7,24.9
highops_lowdelay_tinycpu,20,tornado2,/parallel-io,1317,0(0.00%),65,37,158,224,53396,178.6,54695,1.0,114.7,17.8,0.0,0.0,1556.8,29.7,24.9
highops_lowdelay_tinycpu,20,tornado2,/sequential-io,1386,0(0.00%),203,123,451,224,53396,178.6,54695,1.0,114.7,17.8,0.0,0.0,1556.8,29.7,24.9
highops_lowdelay_tinycpu,20,tornado3,/sequential-io,1300,0(0.00%),220,135,503,224,53085,177.5,54389,1.0,118.8,15.2,0.0,0.0,1559.9,33.6,25.1
highops_lowdelay_tinycpu,20,tornado3,/no-io,1335,0(0.00%),7,2,49,224,53085,177.5,54389,1.0,118.8,15.2,0.0,0.0,1559.9,33.6,25.1
